userID,placeID,rating,food_rating,service_rating,Rating_sum,latitude,longitude,smoker,drink_level,dress_preference,ambience,transport,marital_status,hijos,birth_year,age,interest,personality,religion,activity,color,weight,budget,height,res_latitude,res_longitude,the_geom_meter,name,address,city,state,country,fax,zip,alcohol,smoking_area,dress_code,accessibility,price,url,Rambience,franchise,area,other_services
U1077,135085,2,2,2,6,22.156469,-100.98554,FALSE,social drinker,elegant,family,public,married,kids,1987,24,technology,thrifty-protector,Catholic,student,blue,65,medium,1.71,22.150802,-100.98268,0101000020957F00009F823DA6094858C18A2D4D37F9A44B41,Tortas Locas Hipocampo,Venustiano Carranza 719 Centro,San Luis Potosi,SLP,Mexico,?,78000,No_Alcohol_Served,not permitted,informal,no_accessibility,medium,?,familiar,f,closed,none
U1077,135038,2,2,1,5,22.156469,-100.98554,FALSE,social drinker,elegant,family,public,married,kids,1987,24,technology,thrifty-protector,Catholic,student,blue,65,medium,1.71,23.7355234,-99.1295877,0101000020957F000040E8F628488557C18224E8B948454941,Carnitas Mata  Calle 16 de Septiembre,16 de Septiembre,victoria ,tamaulipas,?,?,?,No_Alcohol_Served,none,informal,completely,low,?,familiar,f,closed,none
U1077,132825,2,2,2,6,22.156469,-100.98554,FALSE,social drinker,elegant,family,public,married,kids,1987,24,technology,thrifty-protector,Catholic,student,blue,65,medium,1.71,23.7602683,-99.1658646,0101000020957F0000A478418BBA8057C133851EB22C4E4941,Pollo_Frito_Buenos_Aires,tampico,victoria,Tamaulipas,Mexico,?,?,No_Alcohol_Served,not permitted,informal,completely,low,?,quiet,t,closed,none
U1077,135060,1,2,2,5,22.156469,-100.98554,FALSE,social drinker,elegant,family,public,married,kids,1987,24,technology,thrifty-protector,Catholic,student,blue,65,medium,1.71,22.135011,-101.0286,0101000020957F00005DAD35642E4958C11BBCDE4A02B34B41,Restaurante de Mariscos la Langosta,Cordillera de Los Alpes 675 Loma Verde,San Luis Potosi,SLP,Mexico,?,78214,No_Alcohol_Served,none,informal,no_accessibility,medium,?,familiar,f,closed,none
U1068,135104,1,1,2,4,23.752269,-99.168605,FALSE,casual drinker,informal,friends,public,single,independent,1988,23,technology,thrifty-protector,Catholic,student,blue,72,low,1.57,22.149192,-101.002936,0101000020957F0000E7B79B1DB94758C1D29BC363D8AA4B41,Sushi Itto,Venustiano Carranza 1809 C Polanco,San Luis Potosi,SLP,Mexico,?,78220,No_Alcohol_Served,none,informal,no_accessibility,medium,sushi-itto.com.mx,familiar,f,closed,none
U1068,132740,0,0,0,0,23.752269,-99.168605,FALSE,casual drinker,informal,friends,public,single,independent,1988,23,technology,thrifty-protector,Catholic,student,blue,72,low,1.57,23.7602683,-99.1658646,0101000020957F0000A478418BBA8057C133851EB22C4E4941,Pollo_Frito_Buenos_Aires,tampico,victoria,Tamaulipas,Mexico,?,?,No_Alcohol_Served,not permitted,informal,completely,low,?,quiet,t,closed,none
U1068,132663,1,1,1,3,23.752269,-99.168605,FALSE,casual drinker,informal,friends,public,single,independent,1988,23,technology,thrifty-protector,Catholic,student,blue,72,low,1.57,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
U1068,132732,0,0,0,0,23.752269,-99.168605,FALSE,casual drinker,informal,friends,public,single,independent,1988,23,technology,thrifty-protector,Catholic,student,blue,72,low,1.57,23.7543569,-99.171288,0101000020957F00008A20E615808157C16272FECBF84F4941,Taqueria EL amigo ,Calle Mezquite Fracc Framboyanes,Cd Victoria,Tamaulipas,Mexico,?,87018,No_Alcohol_Served,none,casual,completely,low,?,familiar,f,open,none
U1068,132630,1,1,1,3,23.752269,-99.168605,FALSE,casual drinker,informal,friends,public,single,independent,1988,23,technology,thrifty-protector,Catholic,student,blue,72,low,1.57,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
U1067,132584,2,2,2,6,23.752269,-99.168605,FALSE,abstemious,no preference,family,public,single,independent,1987,24,technology,thrifty-protector,Christian,student,green,92,medium,1.73,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
